DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
ARAUCA,ARAUCA,1423,2024,9,1465101,0,38,0,0,0,0,0,0
CASANARE,AGUAZUL,1423,2024,9,2551301,4,0,0,0,0,0,0,0
QUINDIO,SALENTO,1423,2024,9,1829902,0,4,0,0,0,0,0,0
CHOCO,CONDOTO,1423,2024,9,5431201,29,0,0,0,0,0,0,0
CASANARE,VILLANUEVA,1423,2024,9,3522401,2,0,0,0,0,0,0,0
MAGDALENA,ZONA BANANERA,1423,2024,9,1471901,5,0,0,0,0,0,0,0
META,VILLAVICENCIO,1423,2024,9,3960301,90,0,1,1,1,0,0,0
HUILA,NEIVA,1423,2024,9,1841401,13,0,0,0,0,0,0,0
CAUCA,VILLA RICA,1423,2024,9,1949901,0,0,0,0,0,0,0,0
ANTIOQUIA,PUERTO TRIUNFO,1423,2024,9,4259302,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,9,5931201,0,0,0,0,0,0,0,0
SANTANDER,SOCORRO,1423,2024,9,2015001,83,1,0,0,0,0,0,0
ANTIOQUIA,RETIRO,1423,2024,9,3311001,57,0,0,0,0,0,0,0
N. DE SANTANDER,PAMPLONA,1423,2024,9,1474101,4,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,9,2012701,3,0,0,0,0,0,0,0
ANTIOQUIA,YONDO,1423,2024,9,3108101,4,0,0,0,0,0,0,0
BOYACA,CHIQUINQUIRA,1423,2024,9,5812901,0,0,0,0,0,0,0,0
ANTIOQUIA,ENVIGADO,1423,2024,9,4370001,3,0,0,0,0,0,0,0
VALLE DEL CAUCA,LA VICTORIA,1423,2024,9,1691001,0,0,0,0,0,0,0,0
NARIÑO,IMUES,1423,2024,9,3360001,3,0,0,0,0,0,0,0
ANTIOQUIA,ITAGUI,1423,2024,9,3581101,0,0,0,0,0,0,0,0
CUNDINAMARCA,ANOLAIMA,1423,2024,9,1692001,2,0,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,9,2561201,32,0,0,0,0,0,0,0
ANTIOQUIA,CAUCASIA,1423,2024,9,1941201,0,0,0,0,0,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,9,4309101,1,0,0,0,0,0,0,0
MAGDALENA,CHIBOLO,1423,2024,9,3473101,0,0,0,0,0,0,0,0
HUILA,CAMPOALEGRE,1423,2024,9,1691001,3,0,0,0,0,0,0,0
ANTIOQUIA,YOLOMBO,1423,2024,9,1471101,1,0,0,0,0,0,0,0
MAGDALENA,PLATO,1423,2024,9,5433001,0,0,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,9,2563001,53,0,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,9,3432202,0,1,0,0,0,0,0,0
CUNDINAMARCA,UNE,1423,2024,9,5711001,7,0,0,0,0,0,0,0
